seed,fitness_str,muh_fun,method,coverage,width,muh_test
0,red,NN,split,0.85,1.0972610053031777,0.25254203166634925
0,red,NN,weighted_split,0.85,1.0972610053031777,0.25254203166634925
0,red,NN,IF1-jackknife,0.775,0.46012541090603165,0.2370672170724016
0,red,NN,IF1-jackknife+,0.76,0.4576509394526842,0.2370672170724016
0,red,NN,IF1-JAWA,0.76,0.46268606376201166,0.2370672170724016
0,red,NN,IF2-jackknife,0.845,0.5255626241525149,0.2370672170724016
0,red,NN,IF2-jackknife+,0.87,0.5262740462751718,0.2370672170724016
0,red,NN,IF2-JAWA,0.895,0.5379145144241229,0.2370672170724016
0,red,NN,IF3-jackknife,0.85,0.5509584374351544,0.2370672170724016
0,red,NN,IF3-jackknife+,0.9,0.5594192966680549,0.2370672170724016
0,red,NN,IF3-JAWA,0.9,0.5767221393462723,0.2370672170724016
1,red,NN,split,0.94,1.4755529867425476,0.21264462984391805
1,red,NN,weighted_split,0.94,1.4755529867425476,0.21264462984391805
1,red,NN,IF1-jackknife,0.8,0.5550051336337665,0.247716425058998
1,red,NN,IF1-jackknife+,0.84,0.5550051336337665,0.247716425058998
1,red,NN,IF1-JAWA,0.84,0.5608436571947364,0.247716425058998
1,red,NN,IF2-jackknife,0.865,0.6553265148223876,0.247716425058998
1,red,NN,IF2-jackknife+,0.895,0.6422803860478139,0.247716425058998
1,red,NN,IF2-JAWA,0.895,0.6483675687210366,0.247716425058998
1,red,NN,IF3-jackknife,0.88,0.6874389947397903,0.247716425058998
1,red,NN,IF3-jackknife+,0.92,0.6831512801932853,0.247716425058998
1,red,NN,IF3-JAWA,0.92,0.6894072763063783,0.247716425058998
2,red,NN,split,0.905,1.4020450156793445,0.2829103906323925
2,red,NN,weighted_split,0.905,1.4020450156793445,0.2829103906323925
2,red,NN,IF1-jackknife,0.86,0.630554747463469,0.2569622071221751
2,red,NN,IF1-jackknife+,0.87,0.624007087621249,0.2569622071221751
2,red,NN,IF1-JAWA,0.88,0.630554747463469,0.2569622071221751
2,red,NN,IF2-jackknife,0.89,0.6989073136518424,0.2569622071221751
2,red,NN,IF2-jackknife+,0.905,0.6946747879988028,0.2569622071221751
2,red,NN,IF2-JAWA,0.905,0.7017931362317041,0.2569622071221751
2,red,NN,IF3-jackknife,0.9,0.7197499213515126,0.2569622071221751
2,red,NN,IF3-jackknife+,0.915,0.719724492699469,0.2569622071221751
2,red,NN,IF3-JAWA,0.915,0.7277510630544318,0.2569622071221751
3,red,NN,split,0.905,1.1554692849652073,0.2565202533547055
3,red,NN,weighted_split,0.905,1.1554692849652073,0.2565202533547055
3,red,NN,IF1-jackknife,0.835,0.5511841556516744,0.2746848758913899
3,red,NN,IF1-jackknife+,0.875,0.5523230973606472,0.2746848758913899
3,red,NN,IF1-JAWA,0.875,0.556966337668202,0.2746848758913899
3,red,NN,IF2-jackknife,0.865,0.6360256351872311,0.2746848758913899
3,red,NN,IF2-jackknife+,0.895,0.6361294367995737,0.2746848758913899
3,red,NN,IF2-JAWA,0.9,0.6425159027598792,0.2746848758913899
3,red,NN,IF3-jackknife,0.875,0.6771551054962592,0.2746848758913899
3,red,NN,IF3-jackknife+,0.925,0.6757765199116037,0.2746848758913899
3,red,NN,IF3-JAWA,0.925,0.6800024453493551,0.2746848758913899
4,red,NN,split,0.935,1.46534220851403,0.28726697819450075
4,red,NN,weighted_split,0.935,1.46534220851403,0.28726697819450075
4,red,NN,IF1-jackknife,0.685,0.4679676096989718,0.30213199069772534
4,red,NN,IF1-jackknife+,0.705,0.46659444684285606,0.30213199069772534
4,red,NN,IF1-JAWA,0.705,0.46850946414553196,0.30213199069772534
4,red,NN,IF2-jackknife,0.735,0.5290713101586959,0.30213199069772534
