seed,fitness_str,muh_fun,method,coverage,width,muh_test
0,blue,NN,split,0.9,1.134896656149218,0.4510588972587175
0,blue,NN,weighted_split,0.9,1.134896656149218,0.4510588972587175
0,blue,NN,JAW-FCS,0.955,0.7564747298814789,0.4897696519293851
0,blue,NN,JAW-SCS,0.955,0.7564747298814789,0.4897696519293851
0,blue,NN,jackknife+,0.955,0.7564747298814789,0.4897696519293851
0,blue,NN,CV+_K8,0.965,0.8674995484723156,0.4897696519293851
0,blue,NN,wCV_FCS_K8,0.97,0.8763032689144179,0.4897696519293851
0,blue,NN,wCV_SCS_K8,0.97,0.8763032689144179,0.4897696519293851
0,blue,NN,JAW_FCS_KLOO_rep_K8,0.96,0.8230970989500817,0.4897696519293851
0,blue,NN,JAW_SCS_KLOO_rep_K8,0.945,0.8544328838190431,0.4897696519293851
0,blue,NN,JAW_FCS_KLOO_det_K8,1.0,inf,0.4897696519293851
0,blue,NN,JAW_SCS_KLOO_det_K8,1.0,inf,0.4897696519293851
0,blue,NN,CV+_K12,0.97,0.8794784640956623,0.4897696519293851
0,blue,NN,wCV_FCS_K12,0.97,0.891295621126031,0.4897696519293851
0,blue,NN,wCV_SCS_K12,0.97,0.891295621126031,0.4897696519293851
0,blue,NN,JAW_FCS_KLOO_rep_K12,0.975,0.813121051845142,0.4897696519293851
0,blue,NN,JAW_SCS_KLOO_rep_K12,0.95,0.8136689918825679,0.4897696519293851
0,blue,NN,JAW_FCS_KLOO_det_K12,0.985,inf,0.4897696519293851
0,blue,NN,JAW_SCS_KLOO_det_K12,0.985,inf,0.4897696519293851
0,blue,NN,CV+_K16,0.965,0.8332083254020534,0.4897696519293851
0,blue,NN,wCV_FCS_K16,0.965,0.8401375171562258,0.4897696519293851
0,blue,NN,wCV_SCS_K16,0.965,0.8401375171562258,0.4897696519293851
0,blue,NN,JAW_FCS_KLOO_rep_K16,0.96,0.8796928581468793,0.4897696519293851
0,blue,NN,JAW_SCS_KLOO_rep_K16,0.95,0.8574298864436583,0.4897696519293851
0,blue,NN,JAW_FCS_KLOO_det_K16,1.0,inf,0.4897696519293851
0,blue,NN,JAW_SCS_KLOO_det_K16,1.0,inf,0.4897696519293851
0,blue,NN,CV+_K24,0.97,0.818356816371498,0.4897696519293851
0,blue,NN,wCV_FCS_K24,0.97,0.8255427690650796,0.4897696519293851
0,blue,NN,wCV_SCS_K24,0.97,0.8255427690650796,0.4897696519293851
0,blue,NN,JAW_FCS_KLOO_rep_K24,0.97,0.8174797665033162,0.4897696519293851
0,blue,NN,JAW_SCS_KLOO_rep_K24,0.95,0.7970141978244142,0.4897696519293851
0,blue,NN,JAW_FCS_KLOO_det_K24,0.99,1.2759363560232329,0.4897696519293851
0,blue,NN,JAW_SCS_KLOO_det_K24,0.99,1.2759363560232329,0.4897696519293851
0,blue,NN,CV+_K32,0.965,0.8037796577175468,0.4897696519293851
0,blue,NN,wCV_FCS_K32,0.965,0.8117490409564906,0.4897696519293851
0,blue,NN,wCV_SCS_K32,0.965,0.8117490409564906,0.4897696519293851
0,blue,NN,JAW_FCS_KLOO_rep_K32,0.955,0.7956868609555161,0.4897696519293851
0,blue,NN,JAW_SCS_KLOO_rep_K32,0.96,0.7887363366888556,0.4897696519293851
0,blue,NN,JAW_FCS_KLOO_det_K32,0.99,1.0754259334502376,0.4897696519293851
0,blue,NN,JAW_SCS_KLOO_det_K32,0.99,1.0754259334502376,0.4897696519293851
0,blue,NN,CV+_K48,0.965,0.7830406407376038,0.4897696519293851
