seed,fitness_str,muh_fun,method,coverage,width,muh_test
0,blue,RF,split,0.805,0.4308196677221141,0.7542952027092159
0,blue,RF,weighted_split,0.91,0.5858344017817307,0.7542952027092159
0,blue,RF,JAW-FCS,0.965,0.5591086408630217,0.7542952027092159
0,blue,RF,JAW-SCS,0.97,0.5705950529759503,0.7542952027092159
0,blue,RF,jackknife+,0.915,0.44473718645893157,0.7542952027092159
0,blue,RF,CV+_K8,0.935,0.4368200588686654,0.7542952027092159
0,blue,RF,wCV_FCS_K8,0.965,0.5326425765882387,0.7542952027092159
0,blue,RF,wCV_SCS_K8,0.985,0.7300980427163468,0.7542952027092159
0,blue,RF,JAW_FCS_KLOO_rep_K8,0.955,0.5797139031973026,0.7542952027092159
0,blue,RF,JAW_SCS_KLOO_rep_K8,0.945,0.6018752645622574,0.7542952027092159
0,blue,RF,JAW_FCS_KLOO_det_K8,0.955,inf,0.7542952027092159
0,blue,RF,JAW_SCS_KLOO_det_K8,0.98,inf,0.7542952027092159
0,blue,RF,CV+_K12,0.925,0.4724315513895042,0.7542952027092159
0,blue,RF,wCV_FCS_K12,0.945,0.49309531455305333,0.7542952027092159
0,blue,RF,wCV_SCS_K12,0.985,0.7457606651248745,0.7542952027092159
0,blue,RF,JAW_FCS_KLOO_rep_K12,0.96,0.6160829040104703,0.7542952027092159
0,blue,RF,JAW_SCS_KLOO_rep_K12,0.935,0.6555816343470023,0.7542952027092159
0,blue,RF,JAW_FCS_KLOO_det_K12,0.955,0.44919853464887183,0.7542952027092159
0,blue,RF,JAW_SCS_KLOO_det_K12,0.985,0.6402722131608034,0.7542952027092159
0,blue,RF,CV+_K16,0.885,0.40044524728030584,0.7542952027092159
0,blue,RF,wCV_FCS_K16,0.885,0.41397784076341104,0.7542952027092159
0,blue,RF,wCV_SCS_K16,0.965,0.5460587210065504,0.7542952027092159
0,blue,RF,JAW_FCS_KLOO_rep_K16,0.965,0.7431354533471496,0.7542952027092159
0,blue,RF,JAW_SCS_KLOO_rep_K16,0.955,0.7378801857266202,0.7542952027092159
0,blue,RF,JAW_FCS_KLOO_det_K16,0.955,0.43881974760006326,0.7542952027092159
0,blue,RF,JAW_SCS_KLOO_det_K16,0.98,0.8453289686710102,0.7542952027092159
0,blue,RF,CV+_K24,0.915,0.45540148023816096,0.7542952027092159
0,blue,RF,wCV_FCS_K24,0.95,0.5263845751120741,0.7542952027092159
0,blue,RF,wCV_SCS_K24,0.98,0.7111788404979777,0.7542952027092159
0,blue,RF,JAW_FCS_KLOO_rep_K24,0.975,0.6146299061660991,0.7542952027092159
0,blue,RF,JAW_SCS_KLOO_rep_K24,0.945,0.6054653724617047,0.7542952027092159
0,blue,RF,JAW_FCS_KLOO_det_K24,0.965,0.5797139031973026,0.7542952027092159
0,blue,RF,JAW_SCS_KLOO_det_K24,0.985,0.6519350688031467,0.7542952027092159
0,blue,RF,CV+_K32,0.915,0.41251607339047147,0.7542952027092159
0,blue,RF,wCV_FCS_K32,0.935,0.44265924540969626,0.7542952027092159
0,blue,RF,wCV_SCS_K32,0.97,0.6436662563112159,0.7542952027092159
0,blue,RF,JAW_FCS_KLOO_rep_K32,0.97,0.5948197727027423,0.7542952027092159
0,blue,RF,JAW_SCS_KLOO_rep_K32,0.96,0.6062477457064517,0.7542952027092159
0,blue,RF,JAW_FCS_KLOO_det_K32,0.99,0.6524528939713632,0.7542952027092159
0,blue,RF,JAW_SCS_KLOO_det_K32,0.99,0.6519350688031467,0.7542952027092159
0,blue,RF,CV+_K48,0.9,0.43310931489686,0.7542952027092159
0,blue,RF,wCV_FCS_K48,0.9,0.4308436046492623,0.7542952027092159
0,blue,RF,wCV_SCS_K48,0.98,0.7507916637174745,0.7542952027092159
0,blue,RF,JAW_FCS_KLOO_rep_K48,0.97,0.580913901661142,0.7542952027092159
0,blue,RF,JAW_SCS_KLOO_rep_K48,0.965,0.600585570922508,0.7542952027092159
0,blue,RF,JAW_FCS_KLOO_det_K48,0.99,0.6493511627933621,0.7542952027092159
0,blue,RF,JAW_SCS_KLOO_det_K48,0.985,0.6502419752348332,0.7542952027092159
0,blue,RF,CV+_K96,0.91,0.4393017340453119,0.7542952027092159
0,blue,RF,wCV_FCS_K96,0.94,0.4902879505259987,0.7542952027092159
0,blue,RF,wCV_SCS_K96,0.955,0.6342090770889373,0.7542952027092159
0,blue,RF,JAW_FCS_KLOO_rep_K96,0.965,0.5750933008576211,0.7542952027092159
0,blue,RF,JAW_SCS_KLOO_rep_K96,0.97,0.5871127074298701,0.7542952027092159
0,blue,RF,JAW_FCS_KLOO_det_K96,0.985,0.6035628307786166,0.7542952027092159
0,blue,RF,JAW_SCS_KLOO_det_K96,0.98,0.6268056255451746,0.7542952027092159
0,blue,RF,CV+_K192,0.91,0.44616324899257004,0.7542952027092159
0,blue,RF,wCV_FCS_K192,0.905,0.4455671932350597,0.7542952027092159
0,blue,RF,wCV_SCS_K192,0.96,0.5696739424180712,0.7542952027092159
0,blue,RF,JAW_FCS_KLOO_rep_K192,0.965,0.5625501767568409,0.7542952027092159
