seed,fitness_str,muh_fun,method,coverage,width,muh_test
0,blue,RF,split,0.91,0.4337121978355598,0.8444591791751429
0,blue,RF,weighted_split,0.975,1.2017211835969848,0.8444591791751429
0,blue,RF,JAW-FCS,0.97,0.5518457761566457,0.8132991884714232
0,blue,RF,JAW-SCS,0.985,0.6418510664322264,0.8132991884714232
0,blue,RF,jackknife+,0.89,0.42293187395823395,0.8132991884714232
0,blue,RF,CV+_K8,0.87,0.39728677618619046,0.8132991884714232
0,blue,RF,wCV_FCS_K8,0.94,0.5241167240344,0.8132991884714232
0,blue,RF,wCV_SCS_K8,0.94,0.5437015913278955,0.8132991884714232
0,blue,RF,JAW_FCS_KLOO_rep_K8,0.92,0.5516501678022809,0.8132991884714232
0,blue,RF,JAW_SCS_KLOO_rep_K8,0.98,0.7943102457214741,0.8132991884714232
0,blue,RF,JAW_FCS_KLOO_det_K8,0.99,inf,0.8132991884714232
0,blue,RF,JAW_SCS_KLOO_det_K8,1.0,inf,0.8132991884714232
0,blue,RF,CV+_K12,0.88,0.4275758589529932,0.8132991884714232
0,blue,RF,wCV_FCS_K12,0.965,0.618008419491148,0.8132991884714232
0,blue,RF,wCV_SCS_K12,0.955,0.6275220527298757,0.8132991884714232
0,blue,RF,JAW_FCS_KLOO_rep_K12,0.96,0.6697148015232783,0.8132991884714232
0,blue,RF,JAW_SCS_KLOO_rep_K12,0.97,0.7567458147894001,0.8132991884714232
0,blue,RF,JAW_FCS_KLOO_det_K12,0.99,inf,0.8132991884714232
0,blue,RF,JAW_SCS_KLOO_det_K12,1.0,inf,0.8132991884714232
0,blue,RF,CV+_K16,0.885,0.4139867218873041,0.8132991884714232
0,blue,RF,wCV_FCS_K16,0.965,0.5847316697576088,0.8132991884714232
0,blue,RF,wCV_SCS_K16,0.98,0.6342675480358718,0.8132991884714232
0,blue,RF,JAW_FCS_KLOO_rep_K16,0.95,0.6977483956921848,0.8132991884714232
0,blue,RF,JAW_SCS_KLOO_rep_K16,0.975,0.7961566000232232,0.8132991884714232
0,blue,RF,JAW_FCS_KLOO_det_K16,0.96,0.5228911556617248,0.8132991884714232
0,blue,RF,JAW_SCS_KLOO_det_K16,0.985,0.8989071640313318,0.8132991884714232
0,blue,RF,CV+_K24,0.875,0.3999402214021886,0.8132991884714232
0,blue,RF,wCV_FCS_K24,0.995,0.6836228817000723,0.8132991884714232
0,blue,RF,wCV_SCS_K24,0.995,0.8041047678107773,0.8132991884714232
0,blue,RF,JAW_FCS_KLOO_rep_K24,0.975,0.6497112123896083,0.8132991884714232
0,blue,RF,JAW_SCS_KLOO_rep_K24,0.975,0.7936108249280289,0.8132991884714232
0,blue,RF,JAW_FCS_KLOO_det_K24,0.97,0.5598460392351038,0.8132991884714232
0,blue,RF,JAW_SCS_KLOO_det_K24,0.985,0.7211532624136239,0.8132991884714232
