seed,fitness_str,muh_fun,method,coverage,width,muh_test
0,red,RF,split,0.68,0.5331801171369996,0.5297118392219318
0,red,RF,weighted_split,0.885,0.7903446859433276,0.5297118392219318
0,red,RF,JAW-FCS,0.915,0.9675759679966056,0.5297118392219318
0,red,RF,JAW-SCS,0.92,1.039921048421073,0.5297118392219318
0,red,RF,jackknife+,0.71,0.4603255095398051,0.5297118392219318
0,red,RF,CV+_K8,0.68,0.4729033183444109,0.5297118392219318
0,red,RF,wCV_FCS_K8,0.655,0.422466352055476,0.5297118392219318
0,red,RF,wCV_SCS_K8,0.925,0.9634541402910188,0.5297118392219318
0,red,RF,JAW_FCS_KLOO_rep_K8,0.885,0.9670620851515769,0.5297118392219318
0,red,RF,JAW_SCS_KLOO_rep_K8,0.91,1.0438720890406321,0.5297118392219318
0,red,RF,JAW_FCS_KLOO_det_K8,0.97,inf,0.5297118392219318
0,red,RF,JAW_SCS_KLOO_det_K8,0.945,inf,0.5297118392219318
0,red,RF,CV+_K12,0.69,0.48109957706035833,0.5297118392219318
0,red,RF,wCV_FCS_K12,0.71,0.4719255430534818,0.5297118392219318
0,red,RF,wCV_SCS_K12,0.85,0.924699940105695,0.5297118392219318
0,red,RF,JAW_FCS_KLOO_rep_K12,0.88,1.0254092278570264,0.5297118392219318
0,red,RF,JAW_SCS_KLOO_rep_K12,0.905,1.0634574196285311,0.5297118392219318
0,red,RF,JAW_FCS_KLOO_det_K12,0.965,inf,0.5297118392219318
0,red,RF,JAW_SCS_KLOO_det_K12,0.945,inf,0.5297118392219318
0,red,RF,CV+_K16,0.7,0.4976255560088036,0.5297118392219318
0,red,RF,wCV_FCS_K16,0.795,0.5584323565082578,0.5297118392219318
0,red,RF,wCV_SCS_K16,0.93,1.110584856504484,0.5297118392219318
0,red,RF,JAW_FCS_KLOO_rep_K16,0.905,1.0415948588796906,0.5297118392219318
0,red,RF,JAW_SCS_KLOO_rep_K16,0.91,1.0594484921213438,0.5297118392219318
0,red,RF,JAW_FCS_KLOO_det_K16,0.955,1.257223398779374,0.5297118392219318
0,red,RF,JAW_SCS_KLOO_det_K16,0.945,inf,0.5297118392219318
0,red,RF,CV+_K24,0.72,0.47180991782183734,0.5297118392219318
0,red,RF,wCV_FCS_K24,0.67,0.3973588550409401,0.5297118392219318
0,red,RF,wCV_SCS_K24,0.89,0.9222378125785962,0.5297118392219318
0,red,RF,JAW_FCS_KLOO_rep_K24,0.9,0.9970686130875959,0.5297118392219318
0,red,RF,JAW_SCS_KLOO_rep_K24,0.915,1.039921048421073,0.5297118392219318
0,red,RF,JAW_FCS_KLOO_det_K24,0.94,1.130137275127661,0.5297118392219318
0,red,RF,JAW_SCS_KLOO_det_K24,0.935,1.0768163873755499,0.5297118392219318
0,red,RF,CV+_K32,0.69,0.482974614652888,0.5297118392219318
0,red,RF,wCV_FCS_K32,0.745,0.5309335833347011,0.5297118392219318
0,red,RF,wCV_SCS_K32,0.875,0.9236169308474886,0.5297118392219318
0,red,RF,JAW_FCS_KLOO_rep_K32,0.915,1.0031052506167937,0.5297118392219318
0,red,RF,JAW_SCS_KLOO_rep_K32,0.905,1.0556157950517462,0.5297118392219318
0,red,RF,JAW_FCS_KLOO_det_K32,0.925,1.0970667985027898,0.5297118392219318
0,red,RF,JAW_SCS_KLOO_det_K32,0.935,1.0749660750562353,0.5297118392219318
0,red,RF,CV+_K48,0.675,0.4332118500407986,0.5297118392219318
0,red,RF,wCV_FCS_K48,0.7,0.44502801481346266,0.5297118392219318
0,red,RF,wCV_SCS_K48,0.82,0.7855817902290045,0.5297118392219318
0,red,RF,JAW_FCS_KLOO_rep_K48,0.92,0.9876860148532671,0.5297118392219318
0,red,RF,JAW_SCS_KLOO_rep_K48,0.92,1.0400429939110332,0.5297118392219318
0,red,RF,JAW_FCS_KLOO_det_K48,0.925,1.084010360248637,0.5297118392219318
0,red,RF,JAW_SCS_KLOO_det_K48,0.925,1.0749660750562353,0.5297118392219318
0,red,RF,CV+_K96,0.695,0.4552437908480055,0.5297118392219318
0,red,RF,wCV_FCS_K96,0.67,0.3985957951148439,0.5297118392219318
0,red,RF,wCV_SCS_K96,0.86,0.8869842231424718,0.5297118392219318
0,red,RF,JAW_FCS_KLOO_rep_K96,0.905,0.9933374074649686,0.5297118392219318
0,red,RF,JAW_SCS_KLOO_rep_K96,0.925,1.0465195573299053,0.5297118392219318
0,red,RF,JAW_FCS_KLOO_det_K96,0.92,1.0389218564949978,0.5297118392219318
0,red,RF,JAW_SCS_KLOO_det_K96,0.925,1.0656830420360275,0.5297118392219318
0,red,RF,CV+_K192,0.7,0.4670415523552063,0.5297118392219318
0,red,RF,wCV_FCS_K192,0.765,0.5477196778102928,0.5297118392219318
0,red,RF,wCV_SCS_K192,0.865,0.8561220721479353,0.5297118392219318
0,red,RF,JAW_FCS_KLOO_rep_K192,0.915,0.9748780417572429,0.5297118392219318
0,red,RF,JAW_SCS_KLOO_rep_K192,0.925,1.039921048421073,0.5297118392219318
0,red,RF,JAW_FCS_KLOO_det_K192,0.915,0.9675759679966056,0.5297118392219318
0,red,RF,JAW_SCS_KLOO_det_K192,0.92,1.039921048421073,0.5297118392219318
1,red,RF,split,0.795,0.6045348334154979,0.5955560446038174
1,red,RF,weighted_split,0.875,0.90156020359851,0.5955560446038174
1,red,RF,JAW-FCS,0.97,1.1750523105391524,0.5955560446038174
1,red,RF,JAW-SCS,0.895,1.0825134461470098,0.5955560446038174
1,red,RF,jackknife+,0.695,0.5028604478434667,0.5955560446038174
1,red,RF,CV+_K8,0.715,0.6076436412560123,0.5955560446038174
1,red,RF,wCV_FCS_K8,0.715,0.5870991200208954,0.5955560446038174
1,red,RF,wCV_SCS_K8,0.945,1.4424168384368485,0.5955560446038174
1,red,RF,JAW_FCS_KLOO_rep_K8,0.93,1.2537532621007084,0.5955560446038174
1,red,RF,JAW_SCS_KLOO_rep_K8,0.895,1.3180098616846903,0.5955560446038174
1,red,RF,JAW_FCS_KLOO_det_K8,0.995,inf,0.5955560446038174
1,red,RF,JAW_SCS_KLOO_det_K8,0.96,inf,0.5955560446038174
1,red,RF,CV+_K12,0.755,0.6042239999607957,0.5955560446038174
1,red,RF,wCV_FCS_K12,0.745,0.565420656089161,0.5955560446038174
1,red,RF,wCV_SCS_K12,0.935,1.5284399728359865,0.5955560446038174
1,red,RF,JAW_FCS_KLOO_rep_K12,0.94,1.209463858716202,0.5955560446038174
1,red,RF,JAW_SCS_KLOO_rep_K12,0.905,1.2266971621440026,0.5955560446038174
1,red,RF,JAW_FCS_KLOO_det_K12,1.0,inf,0.5955560446038174
1,red,RF,JAW_SCS_KLOO_det_K12,0.96,inf,0.5955560446038174
1,red,RF,CV+_K16,0.7,0.5472390638817715,0.5955560446038174
1,red,RF,wCV_FCS_K16,0.745,0.5689517374588458,0.5955560446038174
1,red,RF,wCV_SCS_K16,0.92,1.092697275394566,0.5955560446038174
1,red,RF,JAW_FCS_KLOO_rep_K16,0.94,1.2146188673383127,0.5955560446038174
1,red,RF,JAW_SCS_KLOO_rep_K16,0.89,1.170388451709662,0.5955560446038174
1,red,RF,JAW_FCS_KLOO_det_K16,1.0,inf,0.5955560446038174
1,red,RF,JAW_SCS_KLOO_det_K16,0.945,inf,0.5955560446038174
1,red,RF,CV+_K24,0.715,0.5678143641233673,0.5955560446038174
1,red,RF,wCV_FCS_K24,0.77,0.6536639854259354,0.5955560446038174
1,red,RF,wCV_SCS_K24,0.91,1.1240685176344063,0.5955560446038174
1,red,RF,JAW_FCS_KLOO_rep_K24,0.945,1.247430873443613,0.5955560446038174
1,red,RF,JAW_SCS_KLOO_rep_K24,0.895,1.2133966983869224,0.5955560446038174
1,red,RF,JAW_FCS_KLOO_det_K24,0.99,1.3968962905296103,0.5955560446038174
1,red,RF,JAW_SCS_KLOO_det_K24,0.955,1.3330411632406325,0.5955560446038174
1,red,RF,CV+_K32,0.69,0.5401656437023848,0.5955560446038174
1,red,RF,wCV_FCS_K32,0.715,0.5437236090199221,0.5955560446038174
1,red,RF,wCV_SCS_K32,0.92,1.1610162284768317,0.5955560446038174
1,red,RF,JAW_FCS_KLOO_rep_K32,0.945,1.1794918315778709,0.5955560446038174
1,red,RF,JAW_SCS_KLOO_rep_K32,0.895,1.170388451709662,0.5955560446038174
1,red,RF,JAW_FCS_KLOO_det_K32,0.99,1.378947315066831,0.5955560446038174
1,red,RF,JAW_SCS_KLOO_det_K32,0.96,1.3243405987601595,0.5955560446038174
1,red,RF,CV+_K48,0.695,0.5294180726915754,0.5955560446038174
1,red,RF,wCV_FCS_K48,0.765,0.6150768466324266,0.5955560446038174
1,red,RF,wCV_SCS_K48,0.89,1.2067359510077798,0.5955560446038174
1,red,RF,JAW_FCS_KLOO_rep_K48,0.965,1.2041273340981633,0.5955560446038174
1,red,RF,JAW_SCS_KLOO_rep_K48,0.92,1.1559127201045722,0.5955560446038174
1,red,RF,JAW_FCS_KLOO_det_K48,0.98,1.3273173950260375,0.5955560446038174
1,red,RF,JAW_SCS_KLOO_det_K48,0.955,1.3098128322346598,0.5955560446038174
1,red,RF,CV+_K96,0.69,0.5045793476829632,0.5955560446038174
1,red,RF,wCV_FCS_K96,0.73,0.5312966582580936,0.5955560446038174
1,red,RF,wCV_SCS_K96,0.94,1.293075796702496,0.5955560446038174
1,red,RF,JAW_FCS_KLOO_rep_K96,0.97,1.1875550059148945,0.5955560446038174
1,red,RF,JAW_SCS_KLOO_rep_K96,0.915,1.1140161970226758,0.5955560446038174
