seed,step,dataset,muh_fun,method,coverage,width,MSE
0,0,airfoil,GP,split,0.95,26.49444264555494,52.350573459822535
0,0,airfoil,GP,weighted_split,1.0,inf,52.350573459822535
0,0,airfoil,GP,JAW-FCS,1.0,21.577710493614163,40.39782247874657
0,0,airfoil,GP,JAW-SCS,1.0,22.7507957328299,40.39782247874657
0,0,airfoil,GP,jackknife+,0.95,21.577710493614163,40.39782247874657
0,0,airfoil,GP,CV+_K16,0.95,21.374907499567094,40.39782247874657
0,0,airfoil,GP,wCV_FCS_K16,1.0,21.995377415375316,40.39782247874657
0,0,airfoil,GP,wCV_SCS_K16,1.0,22.82099591124593,40.39782247874657
0,0,airfoil,GP,JAW_FCS_KLOO_rep_K16,1.0,24.512068861810278,40.39782247874657
0,0,airfoil,GP,JAW_SCS_KLOO_rep_K16,1.0,inf,40.39782247874657
0,0,airfoil,GP,JAW_FCS_KLOO_det_K16,0.95,inf,40.39782247874657
0,0,airfoil,GP,JAW_SCS_KLOO_det_K16,1.0,inf,40.39782247874657
0,1,airfoil,GP,split,1.0,23.12109550622523,46.69085412255766
0,1,airfoil,GP,weighted_split,1.0,29.370266584267483,46.69085412255766
0,1,airfoil,GP,JAW-FCS,0.95,22.412264767922437,36.685996771363925
0,1,airfoil,GP,JAW-SCS,1.0,24.952338901006534,36.685996771363925
0,1,airfoil,GP,jackknife+,0.95,22.23497692603651,36.685996771363925
0,1,airfoil,GP,CV+_K16,0.95,21.768651222737958,36.685996771363925
0,1,airfoil,GP,wCV_FCS_K16,0.95,22.946579923013644,36.685996771363925
0,1,airfoil,GP,wCV_SCS_K16,1.0,25.527516388195167,36.685996771363925
0,1,airfoil,GP,JAW_FCS_KLOO_rep_K16,0.9,26.696608634440103,36.685996771363925
0,1,airfoil,GP,JAW_SCS_KLOO_rep_K16,0.95,30.660175629901786,36.685996771363925
0,1,airfoil,GP,JAW_FCS_KLOO_det_K16,1.0,inf,36.685996771363925
0,1,airfoil,GP,JAW_SCS_KLOO_det_K16,1.0,inf,36.685996771363925
0,2,airfoil,GP,split,0.9,21.948407190053388,37.26788125505455
0,2,airfoil,GP,weighted_split,0.95,27.92758251876785,37.26788125505455
0,2,airfoil,GP,JAW-FCS,0.9,20.51126920351153,34.6824029987824
0,2,airfoil,GP,JAW-SCS,0.95,21.154683683690052,34.6824029987824
0,2,airfoil,GP,jackknife+,0.85,19.94266731990885,34.6824029987824
0,2,airfoil,GP,CV+_K16,0.85,19.863184824706337,34.6824029987824
0,2,airfoil,GP,wCV_FCS_K16,0.85,20.678788297937267,34.6824029987824
0,2,airfoil,GP,wCV_SCS_K16,0.95,21.153895429545145,34.6824029987824
0,2,airfoil,GP,JAW_FCS_KLOO_rep_K16,0.9,20.168860822849936,34.6824029987824
0,2,airfoil,GP,JAW_SCS_KLOO_rep_K16,0.95,22.69266926082804,34.6824029987824
0,2,airfoil,GP,JAW_FCS_KLOO_det_K16,1.0,inf,34.6824029987824
0,2,airfoil,GP,JAW_SCS_KLOO_det_K16,1.0,inf,34.6824029987824
0,3,airfoil,GP,split,0.95,18.924723671789238,35.11126596598534
0,3,airfoil,GP,weighted_split,0.95,21.83416720830018,35.11126596598534
0,3,airfoil,GP,JAW-FCS,1.0,21.728648949070575,32.426668691899565
0,3,airfoil,GP,JAW-SCS,1.0,22.31592614750737,32.426668691899565
0,3,airfoil,GP,jackknife+,1.0,21.667831236733086,32.426668691899565
0,3,airfoil,GP,CV+_K16,1.0,21.845601274178307,32.426668691899565
0,3,airfoil,GP,wCV_FCS_K16,1.0,22.128227954308763,32.426668691899565
0,3,airfoil,GP,wCV_SCS_K16,1.0,22.652564334146682,32.426668691899565
0,3,airfoil,GP,JAW_FCS_KLOO_rep_K16,1.0,23.114229555390402,32.426668691899565
0,3,airfoil,GP,JAW_SCS_KLOO_rep_K16,1.0,23.58458179117406,32.426668691899565
0,3,airfoil,GP,JAW_FCS_KLOO_det_K16,1.0,inf,32.426668691899565
0,3,airfoil,GP,JAW_SCS_KLOO_det_K16,1.0,inf,32.426668691899565
0,4,airfoil,GP,split,0.95,19.68846989642769,29.574618066088945
0,4,airfoil,GP,weighted_split,0.95,22.679627123202856,29.574618066088945
0,4,airfoil,GP,JAW-FCS,0.95,21.219317392370222,34.24640443688556
0,4,airfoil,GP,JAW-SCS,0.95,21.92842192420315,34.24640443688556
0,4,airfoil,GP,jackknife+,0.95,21.04880424958641,34.24640443688556
0,4,airfoil,GP,CV+_K16,0.95,20.68765508945401,34.24640443688556
0,4,airfoil,GP,wCV_FCS_K16,0.95,20.92938153777706,34.24640443688556
0,4,airfoil,GP,wCV_SCS_K16,0.95,21.983576641416427,34.24640443688556
0,4,airfoil,GP,JAW_FCS_KLOO_rep_K16,0.95,22.48470796576514,34.24640443688556
0,4,airfoil,GP,JAW_SCS_KLOO_rep_K16,0.95,25.99863792717734,34.24640443688556
0,4,airfoil,GP,JAW_FCS_KLOO_det_K16,1.0,inf,34.24640443688556
0,4,airfoil,GP,JAW_SCS_KLOO_det_K16,1.0,inf,34.24640443688556
0,5,airfoil,GP,split,0.95,21.039249612065746,31.154124637445026
0,5,airfoil,GP,weighted_split,1.0,27.057017039255697,31.154124637445026
0,5,airfoil,GP,JAW-FCS,0.95,20.90187573070059,32.11991134671847
0,5,airfoil,GP,JAW-SCS,0.95,21.505673169318257,32.11991134671847
0,5,airfoil,GP,jackknife+,0.95,21.039113116726824,32.11991134671847
0,5,airfoil,GP,CV+_K16,0.95,20.93098173958522,32.11991134671847
0,5,airfoil,GP,wCV_FCS_K16,0.95,20.94692834061106,32.11991134671847
0,5,airfoil,GP,wCV_SCS_K16,0.95,21.504848294329932,32.11991134671847
0,5,airfoil,GP,JAW_FCS_KLOO_rep_K16,1.0,24.958605972667506,32.11991134671847
0,5,airfoil,GP,JAW_SCS_KLOO_rep_K16,1.0,22.08773550859121,32.11991134671847
0,5,airfoil,GP,JAW_FCS_KLOO_det_K16,0.95,inf,32.11991134671847
0,5,airfoil,GP,JAW_SCS_KLOO_det_K16,1.0,22.305925347676435,32.11991134671847
0,6,airfoil,GP,split,0.85,19.367883639908527,30.493784728343545
0,6,airfoil,GP,weighted_split,0.9,25.16384981036299,30.493784728343545
0,6,airfoil,GP,JAW-FCS,0.85,20.513303365757437,30.87995267092824
0,6,airfoil,GP,JAW-SCS,0.9,21.020732125064924,30.87995267092824
0,6,airfoil,GP,jackknife+,0.85,20.34817382114369,30.87995267092824
0,6,airfoil,GP,CV+_K16,0.85,20.440996133774817,30.87995267092824
0,6,airfoil,GP,wCV_FCS_K16,0.85,20.659622130487513,30.87995267092824
0,6,airfoil,GP,wCV_SCS_K16,0.85,20.909238402946983,30.87995267092824
0,6,airfoil,GP,JAW_FCS_KLOO_rep_K16,0.9,22.11082977516262,30.87995267092824
0,6,airfoil,GP,JAW_SCS_KLOO_rep_K16,0.95,22.70029389258322,30.87995267092824
0,6,airfoil,GP,JAW_FCS_KLOO_det_K16,0.95,inf,30.87995267092824
0,6,airfoil,GP,JAW_SCS_KLOO_det_K16,0.95,28.987946045256393,30.87995267092824
0,7,airfoil,GP,split,1.0,19.587711253210713,28.9654002736258
0,7,airfoil,GP,weighted_split,1.0,19.587711253210713,28.9654002736258
0,7,airfoil,GP,JAW-FCS,0.95,19.785668854833595,30.36694424625517
0,7,airfoil,GP,JAW-SCS,0.95,20.707114858514842,30.36694424625517
0,7,airfoil,GP,jackknife+,0.95,19.785668854833595,30.36694424625517
0,7,airfoil,GP,CV+_K16,0.95,19.66612394235038,30.36694424625517
0,7,airfoil,GP,wCV_FCS_K16,0.95,19.939028981863316,30.36694424625517
0,7,airfoil,GP,wCV_SCS_K16,0.95,20.675097987463523,30.36694424625517
0,7,airfoil,GP,JAW_FCS_KLOO_rep_K16,0.95,27.21353923589264,30.36694424625517
0,7,airfoil,GP,JAW_SCS_KLOO_rep_K16,1.0,26.808318144869624,30.36694424625517
0,7,airfoil,GP,JAW_FCS_KLOO_det_K16,1.0,inf,30.36694424625517
0,7,airfoil,GP,JAW_SCS_KLOO_det_K16,1.0,28.935161153394546,30.36694424625517
1,0,airfoil,GP,split,0.9,21.047614042569023,52.04921924922603
1,0,airfoil,GP,weighted_split,0.85,inf,52.04921924922603
1,0,airfoil,GP,JAW-FCS,0.85,23.313379867511273,40.232986229358524
1,0,airfoil,GP,JAW-SCS,1.0,inf,40.232986229358524
1,0,airfoil,GP,jackknife+,0.8,23.228055177646908,40.232986229358524
1,0,airfoil,GP,CV+_K16,0.8,22.23694474934065,40.232986229358524
1,0,airfoil,GP,wCV_FCS_K16,0.85,23.717590178890305,40.232986229358524
1,0,airfoil,GP,wCV_SCS_K16,1.0,inf,40.232986229358524
1,0,airfoil,GP,JAW_FCS_KLOO_rep_K16,0.95,26.77260664113362,40.232986229358524
1,0,airfoil,GP,JAW_SCS_KLOO_rep_K16,1.0,inf,40.232986229358524
1,0,airfoil,GP,JAW_FCS_KLOO_det_K16,1.0,inf,40.232986229358524
1,0,airfoil,GP,JAW_SCS_KLOO_det_K16,1.0,inf,40.232986229358524
1,1,airfoil,GP,split,0.9,20.994277637775653,40.78769014415099
1,1,airfoil,GP,weighted_split,0.9,20.704615518088545,40.78769014415099
1,1,airfoil,GP,JAW-FCS,1.0,22.93259461318751,38.61861365848041
1,1,airfoil,GP,JAW-SCS,1.0,28.499437452504324,38.61861365848041
1,1,airfoil,GP,jackknife+,0.85,21.92509955270532,38.61861365848041
1,1,airfoil,GP,CV+_K16,0.85,21.34112356392079,38.61861365848041
1,1,airfoil,GP,wCV_FCS_K16,1.0,22.47569940736355,38.61861365848041
1,1,airfoil,GP,wCV_SCS_K16,1.0,28.911630950954148,38.61861365848041
1,1,airfoil,GP,JAW_FCS_KLOO_rep_K16,0.95,inf,38.61861365848041
1,1,airfoil,GP,JAW_SCS_KLOO_rep_K16,1.0,inf,38.61861365848041
1,1,airfoil,GP,JAW_FCS_KLOO_det_K16,0.95,inf,38.61861365848041
1,1,airfoil,GP,JAW_SCS_KLOO_det_K16,1.0,inf,38.61861365848041
1,2,airfoil,GP,split,0.95,19.589675738579686,33.350530679331406
1,2,airfoil,GP,weighted_split,0.95,19.589675738579686,33.350530679331406
1,2,airfoil,GP,JAW-FCS,0.95,20.241881252513224,33.89129286589558
1,2,airfoil,GP,JAW-SCS,1.0,25.537353828125035,33.89129286589558
1,2,airfoil,GP,jackknife+,0.95,19.472066769569835,33.89129286589558
1,2,airfoil,GP,CV+_K16,0.95,19.79658835421938,33.89129286589558
1,2,airfoil,GP,wCV_FCS_K16,0.95,20.40495884580335,33.89129286589558
1,2,airfoil,GP,wCV_SCS_K16,1.0,26.276044051723147,33.89129286589558
1,2,airfoil,GP,JAW_FCS_KLOO_rep_K16,0.95,23.855685930163155,33.89129286589558
1,2,airfoil,GP,JAW_SCS_KLOO_rep_K16,1.0,inf,33.89129286589558
1,2,airfoil,GP,JAW_FCS_KLOO_det_K16,1.0,inf,33.89129286589558
