seed,fitness_str,muh_fun,method,coverage,width,muh_test
0,red,RF,split,0.835,0.49952636326077204,0.32821962234135993
0,red,RF,weighted_split,0.895,0.8269564056463421,0.32821962234135993
0,red,RF,JAW-FCS,0.945,0.7174620717046276,0.31832185391601353
0,red,RF,JAW-SCS,0.955,0.842251382946356,0.31832185391601353
0,red,RF,jackknife+,0.855,0.5129964170297852,0.31832185391601353
0,red,RF,CV+_K2,0.84,0.7350881060691279,0.31832185391601353
0,red,RF,wCV_FCS_K2,0.92,0.9658376432229913,0.31832185391601353
0,red,RF,wCV_SCS_K2,0.95,1.1975822988324676,0.31832185391601353
0,red,RF,JAW_FCS_KLOO_rep_K2,0.725,0.3281917111700341,0.31832185391601353
0,red,RF,JAW_SCS_KLOO_rep_K2,0.765,0.4188743006639604,0.31832185391601353
0,red,RF,JAW_FCS_KLOO_det_K2,0.985,inf,0.31832185391601353
0,red,RF,JAW_SCS_KLOO_det_K2,1.0,inf,0.31832185391601353
0,red,RF,CV+_K4,0.825,0.5655381332633935,0.31832185391601353
0,red,RF,wCV_FCS_K4,0.915,0.7789830421829513,0.31832185391601353
0,red,RF,wCV_SCS_K4,0.96,0.9504210693895638,0.31832185391601353
0,red,RF,JAW_FCS_KLOO_rep_K4,0.86,0.5786827939646924,0.31832185391601353
0,red,RF,JAW_SCS_KLOO_rep_K4,0.905,0.6371472528519884,0.31832185391601353
0,red,RF,JAW_FCS_KLOO_det_K4,0.99,inf,0.31832185391601353
0,red,RF,JAW_SCS_KLOO_det_K4,0.995,inf,0.31832185391601353
0,red,RF,CV+_K6,0.825,0.4887546300847294,0.31832185391601353
0,red,RF,wCV_FCS_K6,0.91,0.7398319316317596,0.31832185391601353
0,red,RF,wCV_SCS_K6,0.95,1.0403324971828716,0.31832185391601353
0,red,RF,JAW_FCS_KLOO_rep_K6,0.895,0.6256649623769293,0.31832185391601353
0,red,RF,JAW_SCS_KLOO_rep_K6,0.92,0.842251382946356,0.31832185391601353
0,red,RF,JAW_FCS_KLOO_det_K6,0.985,inf,0.31832185391601353
0,red,RF,JAW_SCS_KLOO_det_K6,0.985,inf,0.31832185391601353
1,red,RF,split,0.79,0.6401249532313142,0.31000048718908074
1,red,RF,weighted_split,0.84,0.903508532892703,0.31000048718908074
1,red,RF,JAW-FCS,0.895,0.9144096147801496,0.31445691971916373
1,red,RF,JAW-SCS,0.89,0.9197004946573804,0.31445691971916373
1,red,RF,jackknife+,0.82,0.6272780381361314,0.31445691971916373
1,red,RF,CV+_K2,0.805,0.6902814447853992,0.31445691971916373
1,red,RF,wCV_FCS_K2,0.84,0.8555978496840044,0.31445691971916373
1,red,RF,wCV_SCS_K2,0.885,0.999560102136915,0.31445691971916373
1,red,RF,JAW_FCS_KLOO_rep_K2,0.665,0.33318963263564694,0.31445691971916373
1,red,RF,JAW_SCS_KLOO_rep_K2,0.63,0.34958128051831444,0.31445691971916373
1,red,RF,JAW_FCS_KLOO_det_K2,0.965,inf,0.31445691971916373
1,red,RF,JAW_SCS_KLOO_det_K2,1.0,inf,0.31445691971916373
1,red,RF,CV+_K4,0.805,0.5906921013929902,0.31445691971916373
1,red,RF,wCV_FCS_K4,0.88,0.724394704688878,0.31445691971916373
1,red,RF,wCV_SCS_K4,0.935,1.2889685116898844,0.31445691971916373
1,red,RF,JAW_FCS_KLOO_rep_K4,0.84,0.6768931264910549,0.31445691971916373
1,red,RF,JAW_SCS_KLOO_rep_K4,0.79,0.7744448541689284,0.31445691971916373
1,red,RF,JAW_FCS_KLOO_det_K4,0.995,inf,0.31445691971916373
1,red,RF,JAW_SCS_KLOO_det_K4,0.995,inf,0.31445691971916373
1,red,RF,CV+_K6,0.81,0.5744945979745637,0.31445691971916373
1,red,RF,wCV_FCS_K6,0.865,0.79082864161592,0.31445691971916373
1,red,RF,wCV_SCS_K6,0.89,0.9381758086081171,0.31445691971916373
1,red,RF,JAW_FCS_KLOO_rep_K6,0.89,0.8903432859831777,0.31445691971916373
1,red,RF,JAW_SCS_KLOO_rep_K6,0.855,0.8665198489869701,0.31445691971916373
1,red,RF,JAW_FCS_KLOO_det_K6,0.99,inf,0.31445691971916373
1,red,RF,JAW_SCS_KLOO_det_K6,0.98,inf,0.31445691971916373
2,red,RF,split,0.855,0.6843534911305696,0.39531857694822053
2,red,RF,weighted_split,0.96,1.1115156071350394,0.39531857694822053
2,red,RF,JAW-FCS,0.985,0.9566870299601824,0.438708270003834
2,red,RF,JAW-SCS,0.985,0.9753527157349304,0.438708270003834
2,red,RF,jackknife+,0.925,0.6319740712846,0.438708270003834
2,red,RF,CV+_K2,0.855,0.6335405302695158,0.438708270003834
2,red,RF,wCV_FCS_K2,0.975,1.0240375001047957,0.438708270003834
2,red,RF,wCV_SCS_K2,0.995,1.2800364374848225,0.438708270003834
2,red,RF,JAW_FCS_KLOO_rep_K2,0.75,0.334355846629025,0.438708270003834
2,red,RF,JAW_SCS_KLOO_rep_K2,0.705,0.3543681227342339,0.438708270003834
2,red,RF,JAW_FCS_KLOO_det_K2,1.0,inf,0.438708270003834
2,red,RF,JAW_SCS_KLOO_det_K2,1.0,inf,0.438708270003834
2,red,RF,CV+_K4,0.895,0.6158896042132441,0.438708270003834
2,red,RF,wCV_FCS_K4,0.99,1.0545808585757745,0.438708270003834
2,red,RF,wCV_SCS_K4,1.0,1.3362734976683512,0.438708270003834
2,red,RF,JAW_FCS_KLOO_rep_K4,0.865,0.718564581107674,0.438708270003834
2,red,RF,JAW_SCS_KLOO_rep_K4,0.865,0.7063213448472953,0.438708270003834
2,red,RF,JAW_FCS_KLOO_det_K4,1.0,inf,0.438708270003834
2,red,RF,JAW_SCS_KLOO_det_K4,1.0,inf,0.438708270003834
2,red,RF,CV+_K6,0.91,0.5232296159666265,0.438708270003834
2,red,RF,wCV_FCS_K6,0.99,0.9865134853515047,0.438708270003834
2,red,RF,wCV_SCS_K6,1.0,1.454309418115457,0.438708270003834
2,red,RF,JAW_FCS_KLOO_rep_K6,0.925,0.9566870299601824,0.438708270003834
2,red,RF,JAW_SCS_KLOO_rep_K6,0.935,0.9566870299601824,0.438708270003834
2,red,RF,JAW_FCS_KLOO_det_K6,0.995,inf,0.438708270003834
2,red,RF,JAW_SCS_KLOO_det_K6,1.0,inf,0.438708270003834
3,red,RF,split,0.84,0.4730124333896206,0.44197081332522964
3,red,RF,weighted_split,0.93,0.8952413222124247,0.44197081332522964
3,red,RF,JAW-FCS,0.91,0.6134736192747892,0.4654413781669481
3,red,RF,JAW-SCS,0.95,0.7310796978698786,0.4654413781669481
3,red,RF,jackknife+,0.8,0.36849723959376746,0.4654413781669481
3,red,RF,CV+_K2,0.795,0.48513633006880696,0.4654413781669481
3,red,RF,wCV_FCS_K2,0.91,0.7454254189674485,0.4654413781669481
3,red,RF,wCV_SCS_K2,1.0,1.5799582254686393,0.4654413781669481
3,red,RF,JAW_FCS_KLOO_rep_K2,0.675,0.28737087657735483,0.4654413781669481
3,red,RF,JAW_SCS_KLOO_rep_K2,0.715,0.3461872138241524,0.4654413781669481
3,red,RF,JAW_FCS_KLOO_det_K2,0.875,inf,0.4654413781669481
3,red,RF,JAW_SCS_KLOO_det_K2,1.0,inf,0.4654413781669481
3,red,RF,CV+_K4,0.84,0.45612184744931544,0.4654413781669481
3,red,RF,wCV_FCS_K4,0.96,0.9614695506499679,0.4654413781669481
3,red,RF,wCV_SCS_K4,0.975,1.040639438102441,0.4654413781669481
3,red,RF,JAW_FCS_KLOO_rep_K4,0.825,0.4775764465600281,0.4654413781669481
3,red,RF,JAW_SCS_KLOO_rep_K4,0.82,0.5337512230481836,0.4654413781669481
3,red,RF,JAW_FCS_KLOO_det_K4,0.985,inf,0.4654413781669481
3,red,RF,JAW_SCS_KLOO_det_K4,1.0,inf,0.4654413781669481
3,red,RF,CV+_K6,0.8,0.4525975096032063,0.4654413781669481
3,red,RF,wCV_FCS_K6,0.94,0.7683846715594942,0.4654413781669481
3,red,RF,wCV_SCS_K6,0.98,1.0403304807369196,0.4654413781669481
3,red,RF,JAW_FCS_KLOO_rep_K6,0.87,0.6098173167940353,0.4654413781669481
3,red,RF,JAW_SCS_KLOO_rep_K6,0.86,0.6687644055613924,0.4654413781669481
3,red,RF,JAW_FCS_KLOO_det_K6,0.98,inf,0.4654413781669481
3,red,RF,JAW_SCS_KLOO_det_K6,1.0,inf,0.4654413781669481
4,red,RF,split,0.82,0.5655767088952369,0.4833486203613191
4,red,RF,weighted_split,0.89,0.8588824370549484,0.4833486203613191
4,red,RF,JAW-FCS,0.89,0.6610342934284572,0.45919152894307574
4,red,RF,JAW-SCS,0.895,0.7535858337306789,0.45919152894307574
4,red,RF,jackknife+,0.775,0.40178458826794683,0.45919152894307574
4,red,RF,CV+_K2,0.885,0.8764805816175122,0.45919152894307574
4,red,RF,wCV_FCS_K2,0.97,1.228968624736177,0.45919152894307574
4,red,RF,wCV_SCS_K2,0.975,1.2391922664751749,0.45919152894307574
4,red,RF,JAW_FCS_KLOO_rep_K2,0.73,0.35354605675526707,0.45919152894307574
4,red,RF,JAW_SCS_KLOO_rep_K2,0.705,0.37359754565229597,0.45919152894307574
4,red,RF,JAW_FCS_KLOO_det_K2,1.0,inf,0.45919152894307574
4,red,RF,JAW_SCS_KLOO_det_K2,1.0,inf,0.45919152894307574
4,red,RF,CV+_K4,0.785,0.44827699119943565,0.45919152894307574
4,red,RF,wCV_FCS_K4,0.86,0.6300933401620854,0.45919152894307574
4,red,RF,wCV_SCS_K4,0.875,0.7184625372760808,0.45919152894307574
4,red,RF,JAW_FCS_KLOO_rep_K4,0.785,0.5060397177564229,0.45919152894307574
4,red,RF,JAW_SCS_KLOO_rep_K4,0.85,0.6341754423618617,0.45919152894307574
4,red,RF,JAW_FCS_KLOO_det_K4,1.0,inf,0.45919152894307574
4,red,RF,JAW_SCS_KLOO_det_K4,0.995,inf,0.45919152894307574
4,red,RF,CV+_K6,0.82,0.44445594604470323,0.45919152894307574
4,red,RF,wCV_FCS_K6,0.885,0.6665466203387153,0.45919152894307574
4,red,RF,wCV_SCS_K6,0.92,0.8848568603035446,0.45919152894307574
4,red,RF,JAW_FCS_KLOO_rep_K6,0.855,0.6341754423618616,0.45919152894307574
4,red,RF,JAW_SCS_KLOO_rep_K6,0.89,0.7166428804534124,0.45919152894307574
4,red,RF,JAW_FCS_KLOO_det_K6,0.995,inf,0.45919152894307574
4,red,RF,JAW_SCS_KLOO_det_K6,0.985,inf,0.45919152894307574
5,red,RF,split,0.8,0.4341109444329323,0.5501750631855536
5,red,RF,weighted_split,0.91,0.8452560108038103,0.5501750631855536
5,red,RF,JAW-FCS,0.9,0.819807313075692,0.5906423292120253
5,red,RF,JAW-SCS,0.915,0.8615214716171904,0.5906423292120253
5,red,RF,jackknife+,0.785,0.42222619997110217,0.5906423292120253
5,red,RF,CV+_K2,0.82,0.5323357549835647,0.5906423292120253
5,red,RF,wCV_FCS_K2,0.915,1.046784121005448,0.5906423292120253
5,red,RF,wCV_SCS_K2,0.93,1.0789662172493466,0.5906423292120253
5,red,RF,JAW_FCS_KLOO_rep_K2,0.73,0.31412639999203684,0.5906423292120253
5,red,RF,JAW_SCS_KLOO_rep_K2,0.675,0.36912948823092595,0.5906423292120253
5,red,RF,JAW_FCS_KLOO_det_K2,1.0,inf,0.5906423292120253
5,red,RF,JAW_SCS_KLOO_det_K2,1.0,inf,0.5906423292120253
5,red,RF,CV+_K4,0.82,0.4235953067333988,0.5906423292120253
5,red,RF,wCV_FCS_K4,0.91,1.0142771451762091,0.5906423292120253
5,red,RF,wCV_SCS_K4,0.915,0.985248247483257,0.5906423292120253
5,red,RF,JAW_FCS_KLOO_rep_K4,0.83,0.7158473167544523,0.5906423292120253
5,red,RF,JAW_SCS_KLOO_rep_K4,0.85,0.7336130300353709,0.5906423292120253
5,red,RF,JAW_FCS_KLOO_det_K4,1.0,inf,0.5906423292120253
5,red,RF,JAW_SCS_KLOO_det_K4,1.0,inf,0.5906423292120253
5,red,RF,CV+_K6,0.825,0.4383883959195201,0.5906423292120253
5,red,RF,wCV_FCS_K6,0.92,1.0719421916921024,0.5906423292120253
5,red,RF,wCV_SCS_K6,0.92,1.0714719497743264,0.5906423292120253
5,red,RF,JAW_FCS_KLOO_rep_K6,0.855,0.7723265056299335,0.5906423292120253
5,red,RF,JAW_SCS_KLOO_rep_K6,0.84,0.7723265056299335,0.5906423292120253
5,red,RF,JAW_FCS_KLOO_det_K6,1.0,inf,0.5906423292120253
5,red,RF,JAW_SCS_KLOO_det_K6,1.0,inf,0.5906423292120253
6,red,RF,split,0.86,0.7213140746317495,0.3310257129695468
6,red,RF,weighted_split,0.905,0.94879388950484,0.3310257129695468
6,red,RF,JAW-FCS,0.95,0.926995425387044,0.3355939033269803
6,red,RF,JAW-SCS,0.985,1.3052209374546946,0.3355939033269803
6,red,RF,jackknife+,0.825,0.46811157734141434,0.3355939033269803
6,red,RF,CV+_K2,0.8,0.5912613346381841,0.3355939033269803
6,red,RF,wCV_FCS_K2,0.835,0.7319726212304406,0.3355939033269803
6,red,RF,wCV_SCS_K2,0.955,1.437892518062467,0.3355939033269803
6,red,RF,JAW_FCS_KLOO_rep_K2,0.655,0.2814009666025289,0.3355939033269803
6,red,RF,JAW_SCS_KLOO_rep_K2,0.735,0.3316170469581418,0.3355939033269803
6,red,RF,JAW_FCS_KLOO_det_K2,1.0,inf,0.3355939033269803
6,red,RF,JAW_SCS_KLOO_det_K2,1.0,inf,0.3355939033269803
6,red,RF,CV+_K4,0.82,0.5100154209613166,0.3355939033269803
6,red,RF,wCV_FCS_K4,0.92,0.9512659087555437,0.3355939033269803
6,red,RF,wCV_SCS_K4,0.96,1.1487730693426115,0.3355939033269803
6,red,RF,JAW_FCS_KLOO_rep_K4,0.855,0.536962056014235,0.3355939033269803
6,red,RF,JAW_SCS_KLOO_rep_K4,0.87,0.8335168676487354,0.3355939033269803
6,red,RF,JAW_FCS_KLOO_det_K4,0.995,inf,0.3355939033269803
6,red,RF,JAW_SCS_KLOO_det_K4,1.0,inf,0.3355939033269803
6,red,RF,CV+_K6,0.825,0.5125908216574884,0.3355939033269803
6,red,RF,wCV_FCS_K6,0.895,0.8720142952134666,0.3355939033269803
6,red,RF,wCV_SCS_K6,0.925,0.9905389076289257,0.3355939033269803
6,red,RF,JAW_FCS_KLOO_rep_K6,0.885,0.8969231534114046,0.3355939033269803
6,red,RF,JAW_SCS_KLOO_rep_K6,0.92,1.3041402413187533,0.3355939033269803
6,red,RF,JAW_FCS_KLOO_det_K6,1.0,inf,0.3355939033269803
6,red,RF,JAW_SCS_KLOO_det_K6,1.0,inf,0.3355939033269803
7,red,RF,split,0.74,0.4875539899494816,0.3370650857650373
7,red,RF,weighted_split,0.87,0.730457826658393,0.3370650857650373
7,red,RF,JAW-FCS,0.82,0.6609275103946852,0.3477500286261705
7,red,RF,JAW-SCS,0.83,0.7678779904937341,0.3477500286261705
7,red,RF,jackknife+,0.785,0.46520907930717653,0.3477500286261705
7,red,RF,CV+_K2,0.745,0.5915895547373997,0.3477500286261705
7,red,RF,wCV_FCS_K2,0.795,0.7624023937381212,0.3477500286261705
7,red,RF,wCV_SCS_K2,0.86,1.0280489963907606,0.3477500286261705
7,red,RF,JAW_FCS_KLOO_rep_K2,0.68,0.32033670085034766,0.3477500286261705
7,red,RF,JAW_SCS_KLOO_rep_K2,0.655,0.3203367008503476,0.3477500286261705
7,red,RF,JAW_FCS_KLOO_det_K2,1.0,inf,0.3477500286261705
7,red,RF,JAW_SCS_KLOO_det_K2,1.0,inf,0.3477500286261705
7,red,RF,CV+_K4,0.755,0.5096315596974949,0.3477500286261705
7,red,RF,wCV_FCS_K4,0.785,0.6460481606590844,0.3477500286261705
7,red,RF,wCV_SCS_K4,0.815,0.7603030842980418,0.3477500286261705
7,red,RF,JAW_FCS_KLOO_rep_K4,0.78,0.46664727306823495,0.3477500286261705
7,red,RF,JAW_SCS_KLOO_rep_K4,0.795,0.6047837299809823,0.3477500286261705
7,red,RF,JAW_FCS_KLOO_det_K4,0.97,inf,0.3477500286261705
7,red,RF,JAW_SCS_KLOO_det_K4,0.99,inf,0.3477500286261705
7,red,RF,CV+_K6,0.765,0.47687444308035254,0.3477500286261705
7,red,RF,wCV_FCS_K6,0.795,0.5951060308525676,0.3477500286261705
7,red,RF,wCV_SCS_K6,0.815,0.6816029227004904,0.3477500286261705
7,red,RF,JAW_FCS_KLOO_rep_K6,0.815,0.614454682122348,0.3477500286261705
7,red,RF,JAW_SCS_KLOO_rep_K6,0.81,0.7433862116615062,0.3477500286261705
7,red,RF,JAW_FCS_KLOO_det_K6,0.935,inf,0.3477500286261705
7,red,RF,JAW_SCS_KLOO_det_K6,0.95,inf,0.3477500286261705
8,red,RF,split,0.785,0.5538085508826709,0.3381851987490232
8,red,RF,weighted_split,0.85,0.8672858771297762,0.3381851987490232
8,red,RF,JAW-FCS,0.89,0.5326387428820836,0.3418330869555459
8,red,RF,JAW-SCS,0.895,0.5451676313134275,0.3418330869555459
8,red,RF,jackknife+,0.84,0.3989823640376937,0.3418330869555459
