itrial,dataset,muh_fun,method,coverage,width
0,wave,neural_net,naive,0.7777777777777778,97789.72946871025
0,wave,neural_net,jackknife,0.8211111111111111,105828.66248775506
0,wave,neural_net,jackknife+,0.9255555555555556,119106.24031109107
0,wave,neural_net,jackknife-mm,0.9944444444444445,199120.00746745907
0,wave,neural_net,split,0.8544444444444445,102703.41219813656
0,wave,neural_net,weighted_split_oracle,0.9811111111111112,182658.61477865186
0,wave,neural_net,weighted_split_lr,0.9811111111111112,182658.61477865186
0,wave,neural_net,weighted_split_rf,0.8966666666666666,116209.98765778122
0,wave,neural_net,JAW_oracle,0.97,163607.34958483255
0,wave,neural_net,JAW_lr,0.9566666666666667,134180.05880405265
0,wave,neural_net,JAW_rf,0.95,128836.3810345016
0,wave,neural_net,JAWmm_oracle,1.0,236988.67595450452
0,wave,neural_net,JAWmm_lr,0.9944444444444445,191271.70669725037
0,wave,neural_net,JAWmm_rf,0.9944444444444445,203798.88335614104
0,wave,neural_net,CV+_K5,0.92,119596.45288476616
0,wave,neural_net,wCV_oracle_K5,0.9444444444444444,125721.34756241273
0,wave,neural_net,wCV_lr_K5,0.9344444444444444,120593.36993022857
0,wave,neural_net,wCV_rf_K5,0.94,129442.3014453405
0,wave,neural_net,JAW_KLOO_oracle_K5,1.0,inf
0,wave,neural_net,JAW_KLOO_lr_K5,0.8766666666666667,110111.54792149435
0,wave,neural_net,JAW_KLOO_rf_K5,0.98,183040.87938624108
0,wave,neural_net,JAW_KLOO_oracle_det_K5,0.9833333333333333,183040.87938624108
0,wave,neural_net,JAW_KLOO_lr_det_K5,0.9788888888888889,183040.87938624108
0,wave,neural_net,JAW_KLOO_rf_det_K5,0.9911111111111112,183040.87938624108
0,wave,neural_net,CV+_K10,0.9155555555555556,121629.38368665508
0,wave,neural_net,wCV_oracle_K10,0.9588888888888889,144551.5648355696
0,wave,neural_net,wCV_lr_K10,0.9444444444444444,130315.80710065109
0,wave,neural_net,wCV_rf_K10,0.9388888888888889,131802.62331935344
0,wave,neural_net,JAW_KLOO_oracle_K10,0.98,153004.66321248072
0,wave,neural_net,JAW_KLOO_lr_K10,1.0,inf
0,wave,neural_net,JAW_KLOO_rf_K10,0.9833333333333333,191017.84945588047
0,wave,neural_net,JAW_KLOO_oracle_det_K10,0.99,183040.87938624108
0,wave,neural_net,JAW_KLOO_lr_det_K10,0.9788888888888889,183040.87938624108
0,wave,neural_net,JAW_KLOO_rf_det_K10,0.9944444444444445,183040.87938624108
0,wave,neural_net,CV+_K20,0.93,117735.49104993476
0,wave,neural_net,wCV_oracle_K20,0.9766666666666667,158180.41436173604
0,wave,neural_net,wCV_lr_K20,0.9666666666666667,141546.14641533175
0,wave,neural_net,wCV_rf_K20,0.9522222222222222,129769.54753826535
0,wave,neural_net,JAW_KLOO_oracle_K20,0.9644444444444444,141453.72985468223
0,wave,neural_net,JAW_KLOO_lr_K20,0.9544444444444444,123295.90598304186
0,wave,neural_net,JAW_KLOO_rf_K20,0.98,143311.56496808399
0,wave,neural_net,JAW_KLOO_oracle_det_K20,0.9877777777777778,183040.87938624108
0,wave,neural_net,JAW_KLOO_lr_det_K20,0.9833333333333333,165459.47309083282
0,wave,neural_net,JAW_KLOO_rf_det_K20,0.9955555555555555,inf
0,wave,neural_net,CV+_K25,0.9255555555555556,116767.72605626984
0,wave,neural_net,wCV_oracle_K25,0.9766666666666667,159909.89145637536
0,wave,neural_net,wCV_lr_K25,0.9711111111111111,155519.61530524178
0,wave,neural_net,wCV_rf_K25,0.9444444444444444,124791.47963116528
0,wave,neural_net,JAW_KLOO_oracle_K25,0.99,183074.82752700313
0,wave,neural_net,JAW_KLOO_lr_K25,0.9422222222222222,127411.992355939
0,wave,neural_net,JAW_KLOO_rf_K25,0.9644444444444444,141101.61569168512
0,wave,neural_net,JAW_KLOO_oracle_det_K25,0.9888888888888889,186329.4738548674
0,wave,neural_net,JAW_KLOO_lr_det_K25,0.99,184973.44041935191
0,wave,neural_net,JAW_KLOO_rf_det_K25,0.99,174609.00028150342
0,wave,neural_net,CV+_K50,0.9355555555555556,119472.20574203413
0,wave,neural_net,wCV_oracle_K50,0.9788888888888889,168057.9989487701
0,wave,neural_net,wCV_lr_K50,0.9633333333333334,135889.10877174616
0,wave,neural_net,wCV_rf_K50,0.9588888888888889,130907.43340660492
0,wave,neural_net,JAW_KLOO_oracle_K50,0.9811111111111112,161180.78862945852
0,wave,neural_net,JAW_KLOO_lr_K50,0.9866666666666667,inf
0,wave,neural_net,JAW_KLOO_rf_K50,0.9577777777777777,138716.29355235817
0,wave,neural_net,JAW_KLOO_oracle_det_K50,0.9855555555555555,192187.14448307897
0,wave,neural_net,JAW_KLOO_lr_det_K50,0.9666666666666667,144184.40488255117
0,wave,neural_net,JAW_KLOO_rf_det_K50,0.9766666666666667,167299.70598039613
1,wave,neural_net,naive,0.9144444444444444,111656.5755565106
1,wave,neural_net,jackknife,0.9077777777777778,106836.56338598719
1,wave,neural_net,jackknife+,0.96,121488.63474414404
1,wave,neural_net,jackknife-mm,1.0,207760.76269455312
1,wave,neural_net,split,0.9244444444444444,114892.67920808634
1,wave,neural_net,weighted_split_oracle,0.9055555555555556,102860.57604952203
1,wave,neural_net,weighted_split_lr,0.9277777777777778,113850.46945825126
1,wave,neural_net,weighted_split_rf,0.9433333333333334,125946.99062432535
1,wave,neural_net,JAW_oracle,0.9688888888888889,119066.68539588805
1,wave,neural_net,JAW_lr,0.97,120164.36706687615
1,wave,neural_net,JAW_rf,0.9677777777777777,125012.39077796112
1,wave,neural_net,JAWmm_oracle,1.0,216405.341152446
1,wave,neural_net,JAWmm_lr,1.0,216405.341152446
1,wave,neural_net,JAWmm_rf,1.0,206376.59099409508
1,wave,neural_net,CV+_K5,0.9555555555555556,110827.84699475055
1,wave,neural_net,wCV_oracle_K5,0.9311111111111111,98681.65671201411
1,wave,neural_net,wCV_lr_K5,0.92,97613.72925293236
1,wave,neural_net,wCV_rf_K5,0.9522222222222222,109433.42228398717
1,wave,neural_net,JAW_KLOO_oracle_K5,0.9811111111111112,161562.46484177443
1,wave,neural_net,JAW_KLOO_lr_K5,0.9911111111111112,168073.83640112274
1,wave,neural_net,JAW_KLOO_rf_K5,0.8377777777777777,89330.85541798733
1,wave,neural_net,JAW_KLOO_oracle_det_K5,0.9566666666666667,115481.14184388006
1,wave,neural_net,JAW_KLOO_lr_det_K5,0.9611111111111111,115481.14184388006
1,wave,neural_net,JAW_KLOO_rf_det_K5,0.9711111111111111,119775.13521678164
1,wave,neural_net,CV+_K10,0.9455555555555556,117327.02040608972
1,wave,neural_net,wCV_oracle_K10,0.94,112527.76500660856
1,wave,neural_net,wCV_lr_K10,0.9355555555555556,107803.51435409277
1,wave,neural_net,wCV_rf_K10,0.95,118274.51885299326
1,wave,neural_net,JAW_KLOO_oracle_K10,0.9177777777777778,99482.21277969307
1,wave,neural_net,JAW_KLOO_lr_K10,0.9655555555555555,118006.2581431386
1,wave,neural_net,JAW_KLOO_rf_K10,0.9644444444444444,115481.14184388006
1,wave,neural_net,JAW_KLOO_oracle_det_K10,0.9711111111111111,115543.55178183492
1,wave,neural_net,JAW_KLOO_lr_det_K10,0.9733333333333334,120272.80777917802
1,wave,neural_net,JAW_KLOO_rf_det_K10,0.9788888888888889,132798.95353497716
1,wave,neural_net,CV+_K20,0.96,121592.67837040033
1,wave,neural_net,wCV_oracle_K20,0.9755555555555555,133956.26223613147
1,wave,neural_net,wCV_lr_K20,0.9733333333333334,130727.5364787092
1,wave,neural_net,wCV_rf_K20,0.9766666666666667,127714.6129764046
1,wave,neural_net,JAW_KLOO_oracle_K20,0.9733333333333334,125893.69326370093
1,wave,neural_net,JAW_KLOO_lr_K20,0.9766666666666667,134403.50908572972
1,wave,neural_net,JAW_KLOO_rf_K20,0.9744444444444444,117853.08039092785
1,wave,neural_net,JAW_KLOO_oracle_det_K20,0.9722222222222222,122897.56868592522
1,wave,neural_net,JAW_KLOO_lr_det_K20,0.9755555555555555,128056.24554228713
1,wave,neural_net,JAW_KLOO_rf_det_K20,0.9888888888888889,161752.9899077739
