seed,step,dataset,muh_fun,method,coverage,width,MSE
0,0,airfoil,GP,split,0.9,27.270299773021236,52.350573459822535
0,0,airfoil,GP,weighted_split,1.0,inf,52.350573459822535
0,0,airfoil,GP,JAW-FCS,0.95,22.73494337745734,40.39782247874657
0,0,airfoil,GP,JAW-SCS,0.95,25.123467402431324,40.39782247874657
0,0,airfoil,GP,jackknife+,0.95,22.946456594814066,40.39782247874657
0,0,airfoil,GP,CV+_K16,0.95,23.4045379857277,40.39782247874657
0,0,airfoil,GP,wCV_FCS_K16,0.95,23.483391769438185,40.39782247874657
0,0,airfoil,GP,wCV_SCS_K16,0.95,26.035835339637096,40.39782247874657
0,0,airfoil,GP,JAW_FCS_KLOO_rep_K16,0.9,26.64253696249463,40.39782247874657
0,0,airfoil,GP,JAW_SCS_KLOO_rep_K16,0.95,inf,40.39782247874657
0,0,airfoil,GP,JAW_FCS_KLOO_det_K16,0.95,inf,40.39782247874657
0,0,airfoil,GP,JAW_SCS_KLOO_det_K16,0.95,inf,40.39782247874657
0,1,airfoil,GP,split,1.0,23.527311390962552,49.811198584089944
0,1,airfoil,GP,weighted_split,1.0,29.34330956955546,49.811198584089944
0,1,airfoil,GP,JAW-FCS,1.0,22.55990360236433,36.64143917972064
0,1,airfoil,GP,JAW-SCS,1.0,23.888028858033437,36.64143917972064
0,1,airfoil,GP,jackknife+,1.0,22.451461565689918,36.64143917972064
0,1,airfoil,GP,CV+_K16,1.0,22.423911431254957,36.64143917972064
0,1,airfoil,GP,wCV_FCS_K16,1.0,22.909703997890794,36.64143917972064
0,1,airfoil,GP,wCV_SCS_K16,1.0,24.684191170323032,36.64143917972064
0,1,airfoil,GP,JAW_FCS_KLOO_rep_K16,1.0,25.566222520563315,36.64143917972064
0,1,airfoil,GP,JAW_SCS_KLOO_rep_K16,1.0,24.265587940988112,36.64143917972064
0,1,airfoil,GP,JAW_FCS_KLOO_det_K16,1.0,inf,36.64143917972064
0,1,airfoil,GP,JAW_SCS_KLOO_det_K16,1.0,inf,36.64143917972064
0,2,airfoil,GP,split,1.0,21.220544280986346,38.99469306320687
0,2,airfoil,GP,weighted_split,1.0,21.220544280986346,38.99469306320687
0,2,airfoil,GP,JAW-FCS,0.95,21.984416200330095,32.06119779094506
0,2,airfoil,GP,JAW-SCS,0.95,22.455210491008202,32.06119779094506
0,2,airfoil,GP,jackknife+,0.95,21.847695624520284,32.06119779094506
0,2,airfoil,GP,CV+_K16,0.95,21.586014071215196,32.06119779094506
0,2,airfoil,GP,wCV_FCS_K16,0.95,22.03694695355668,32.06119779094506
0,2,airfoil,GP,wCV_SCS_K16,0.95,22.353449305256234,32.06119779094506
0,2,airfoil,GP,JAW_FCS_KLOO_rep_K16,1.0,22.187949763099546,32.06119779094506
0,2,airfoil,GP,JAW_SCS_KLOO_rep_K16,0.95,23.993811389413068,32.06119779094506
0,2,airfoil,GP,JAW_FCS_KLOO_det_K16,1.0,inf,32.06119779094506
0,2,airfoil,GP,JAW_SCS_KLOO_det_K16,1.0,inf,32.06119779094506
0,3,airfoil,GP,split,0.85,19.995265485749826,34.60602275930675
0,3,airfoil,GP,weighted_split,1.0,22.869192868699002,34.60602275930675
0,3,airfoil,GP,JAW-FCS,0.75,21.07777973064715,29.273032869635557
0,3,airfoil,GP,JAW-SCS,0.75,21.532191910902533,29.273032869635557
0,3,airfoil,GP,jackknife+,0.75,21.045500138555255,29.273032869635557
0,3,airfoil,GP,CV+_K16,0.75,20.66235974045062,29.273032869635557
0,3,airfoil,GP,wCV_FCS_K16,0.75,20.772815644619797,29.273032869635557
0,3,airfoil,GP,wCV_SCS_K16,0.75,21.304769604288595,29.273032869635557
0,3,airfoil,GP,JAW_FCS_KLOO_rep_K16,0.85,21.8050257767024,29.273032869635557
0,3,airfoil,GP,JAW_SCS_KLOO_rep_K16,0.85,22.362761511346697,29.273032869635557
0,3,airfoil,GP,JAW_FCS_KLOO_det_K16,0.95,inf,29.273032869635557
0,3,airfoil,GP,JAW_SCS_KLOO_det_K16,0.95,inf,29.273032869635557
0,4,airfoil,GP,split,0.9,18.763516140717968,33.240836272180594
0,4,airfoil,GP,weighted_split,0.9,24.551409565184258,33.240836272180594
0,4,airfoil,GP,JAW-FCS,0.85,20.527995275222082,29.19148037420663
0,4,airfoil,GP,JAW-SCS,0.85,20.745213210285684,29.19148037420663
0,4,airfoil,GP,jackknife+,0.85,20.511769158088313,29.19148037420663
0,4,airfoil,GP,CV+_K16,0.85,20.183780380045135,29.19148037420663
0,4,airfoil,GP,wCV_FCS_K16,0.85,20.320713781209257,29.19148037420663
0,4,airfoil,GP,wCV_SCS_K16,0.85,20.86410034069253,29.19148037420663
0,4,airfoil,GP,JAW_FCS_KLOO_rep_K16,0.95,23.242072311287586,29.19148037420663
0,4,airfoil,GP,JAW_SCS_KLOO_rep_K16,0.9,21.518205517905045,29.19148037420663
0,4,airfoil,GP,JAW_FCS_KLOO_det_K16,0.95,inf,29.19148037420663
0,4,airfoil,GP,JAW_SCS_KLOO_det_K16,0.95,inf,29.19148037420663
0,5,airfoil,GP,split,0.8,19.671815039077032,31.486119075631294
0,5,airfoil,GP,weighted_split,0.85,inf,31.486119075631294
0,5,airfoil,GP,JAW-FCS,0.8,20.337392934564086,29.264259688982484
0,5,airfoil,GP,JAW-SCS,0.8,20.33165818095813,29.264259688982484
0,5,airfoil,GP,jackknife+,0.8,20.362130284314134,29.264259688982484
0,5,airfoil,GP,CV+_K16,0.75,20.12569088087338,29.264259688982484
0,5,airfoil,GP,wCV_FCS_K16,0.8,20.25076397741215,29.264259688982484
0,5,airfoil,GP,wCV_SCS_K16,0.8,20.39316725959906,29.264259688982484
0,5,airfoil,GP,JAW_FCS_KLOO_rep_K16,0.95,20.964932792342495,29.264259688982484
0,5,airfoil,GP,JAW_SCS_KLOO_rep_K16,0.85,22.111584723587697,29.264259688982484
0,5,airfoil,GP,JAW_FCS_KLOO_det_K16,0.85,inf,29.264259688982484
0,5,airfoil,GP,JAW_SCS_KLOO_det_K16,0.85,inf,29.264259688982484
0,6,airfoil,GP,split,0.85,20.638968622657544,30.91361340174147
0,6,airfoil,GP,weighted_split,0.9,26.9020331946258,30.91361340174147
0,6,airfoil,GP,JAW-FCS,0.9,19.984547960531543,29.234177501237838
0,6,airfoil,GP,JAW-SCS,0.9,20.027258925104903,29.234177501237838
0,6,airfoil,GP,jackknife+,0.85,19.902723913491954,29.234177501237838
0,6,airfoil,GP,CV+_K16,0.85,19.506981924692305,29.234177501237838
0,6,airfoil,GP,wCV_FCS_K16,0.9,19.818377351092487,29.234177501237838
0,6,airfoil,GP,wCV_SCS_K16,0.9,19.988881829668493,29.234177501237838
0,6,airfoil,GP,JAW_FCS_KLOO_rep_K16,0.8,19.309818997939786,29.234177501237838
0,6,airfoil,GP,JAW_SCS_KLOO_rep_K16,0.9,22.054690026941486,29.234177501237838
0,6,airfoil,GP,JAW_FCS_KLOO_det_K16,0.95,inf,29.234177501237838
0,6,airfoil,GP,JAW_SCS_KLOO_det_K16,0.95,inf,29.234177501237838
0,7,airfoil,GP,split,0.9,23.80175148773195,32.33047367020592
0,7,airfoil,GP,weighted_split,0.95,30.25220433044433,32.33047367020592
0,7,airfoil,GP,JAW-FCS,0.9,21.575143106460587,30.019288702557986
0,7,airfoil,GP,JAW-SCS,0.9,21.51117796325684,30.019288702557986
0,7,airfoil,GP,jackknife+,0.9,21.500335728645325,30.019288702557986
0,7,airfoil,GP,CV+_K16,0.95,20.034107391522767,30.019288702557986
0,7,airfoil,GP,wCV_FCS_K16,0.95,20.332709327412353,30.019288702557986
0,7,airfoil,GP,wCV_SCS_K16,0.95,20.202271008838323,30.019288702557986
0,7,airfoil,GP,JAW_FCS_KLOO_rep_K16,0.95,22.642411526680007,30.019288702557986
0,7,airfoil,GP,JAW_SCS_KLOO_rep_K16,0.95,22.170864950180075,30.019288702557986
0,7,airfoil,GP,JAW_FCS_KLOO_det_K16,0.95,inf,30.019288702557986
0,7,airfoil,GP,JAW_SCS_KLOO_det_K16,0.9,20.193862089157108,30.019288702557986
1,0,airfoil,GP,split,0.85,19.87633757424379,52.04921924922603
1,0,airfoil,GP,weighted_split,0.5,7.698837486002759,52.04921924922603
1,0,airfoil,GP,JAW-FCS,0.9,22.007920042879405,40.232986229358524
1,0,airfoil,GP,JAW-SCS,0.95,inf,40.232986229358524
1,0,airfoil,GP,jackknife+,0.85,21.689570973910357,40.232986229358524
1,0,airfoil,GP,CV+_K16,0.85,20.653657494443678,40.232986229358524
1,0,airfoil,GP,wCV_FCS_K16,0.9,22.212268445645933,40.232986229358524
1,0,airfoil,GP,wCV_SCS_K16,0.95,inf,40.232986229358524
1,0,airfoil,GP,JAW_FCS_KLOO_rep_K16,0.95,inf,40.232986229358524
1,0,airfoil,GP,JAW_SCS_KLOO_rep_K16,0.95,inf,40.232986229358524
1,0,airfoil,GP,JAW_FCS_KLOO_det_K16,0.95,inf,40.232986229358524
1,0,airfoil,GP,JAW_SCS_KLOO_det_K16,1.0,inf,40.232986229358524
1,1,airfoil,GP,split,1.0,26.123170485356226,51.9660358698478
1,1,airfoil,GP,weighted_split,0.9,15.065267107891273,51.9660358698478
1,1,airfoil,GP,JAW-FCS,0.95,20.249918585430237,36.53638062384499
1,1,airfoil,GP,JAW-SCS,1.0,22.03350790625835,36.53638062384499
1,1,airfoil,GP,jackknife+,0.95,20.207895083649206,36.53638062384499
1,1,airfoil,GP,CV+_K16,0.95,20.085575722858323,36.53638062384499
1,1,airfoil,GP,wCV_FCS_K16,0.95,20.195995837631983,36.53638062384499
1,1,airfoil,GP,wCV_SCS_K16,1.0,21.147786274548594,36.53638062384499
1,1,airfoil,GP,JAW_FCS_KLOO_rep_K16,1.0,23.233483307254872,36.53638062384499
1,1,airfoil,GP,JAW_SCS_KLOO_rep_K16,1.0,23.77868141968829,36.53638062384499
1,1,airfoil,GP,JAW_FCS_KLOO_det_K16,1.0,inf,36.53638062384499
1,1,airfoil,GP,JAW_SCS_KLOO_det_K16,1.0,inf,36.53638062384499
1,2,airfoil,GP,split,0.9,22.633845142201594,40.84431366477202
1,2,airfoil,GP,weighted_split,0.9,inf,40.84431366477202
1,2,airfoil,GP,JAW-FCS,0.85,21.282500002557605,33.54525305937743
1,2,airfoil,GP,JAW-SCS,0.85,22.473257358692308,33.54525305937743
1,2,airfoil,GP,jackknife+,0.85,20.746536152830288,33.54525305937743
1,2,airfoil,GP,CV+_K16,0.75,20.61268825917452,33.54525305937743
1,2,airfoil,GP,wCV_FCS_K16,0.85,21.147547539937534,33.54525305937743
1,2,airfoil,GP,wCV_SCS_K16,0.85,22.408650032156444,33.54525305937743
1,2,airfoil,GP,JAW_FCS_KLOO_rep_K16,0.8,21.75671291087037,33.54525305937743
1,2,airfoil,GP,JAW_SCS_KLOO_rep_K16,0.9,inf,33.54525305937743
1,2,airfoil,GP,JAW_FCS_KLOO_det_K16,0.95,inf,33.54525305937743
1,2,airfoil,GP,JAW_SCS_KLOO_det_K16,0.95,inf,33.54525305937743
1,3,airfoil,GP,split,0.85,23.50998447004166,38.36343435204983
1,3,airfoil,GP,weighted_split,0.8,24.07146772108723,38.36343435204983
1,3,airfoil,GP,JAW-FCS,0.85,20.339985302047253,34.149957865878875
1,3,airfoil,GP,JAW-SCS,0.85,22.3907485695034,34.149957865878875
1,3,airfoil,GP,jackknife+,0.8,20.06531229061902,34.149957865878875
1,3,airfoil,GP,CV+_K16,0.8,19.901030444346887,34.149957865878875
1,3,airfoil,GP,wCV_FCS_K16,0.85,20.602831330926264,34.149957865878875
1,3,airfoil,GP,wCV_SCS_K16,0.85,22.539311143032833,34.149957865878875
1,3,airfoil,GP,JAW_FCS_KLOO_rep_K16,0.9,22.390652821454538,34.149957865878875
1,3,airfoil,GP,JAW_SCS_KLOO_rep_K16,0.9,23.661809632696958,34.149957865878875
1,3,airfoil,GP,JAW_FCS_KLOO_det_K16,1.0,inf,34.149957865878875
1,3,airfoil,GP,JAW_SCS_KLOO_det_K16,1.0,inf,34.149957865878875
1,4,airfoil,GP,split,0.95,23.21317030038523,36.80003076612834
1,4,airfoil,GP,weighted_split,0.95,23.25194449751418,36.80003076612834
1,4,airfoil,GP,JAW-FCS,0.95,19.006669174051183,34.56506513183296
1,4,airfoil,GP,JAW-SCS,0.95,20.958818066020456,34.56506513183296
1,4,airfoil,GP,jackknife+,0.95,18.705449646876488,34.56506513183296
1,4,airfoil,GP,CV+_K16,0.95,18.276388781787972,34.56506513183296
1,4,airfoil,GP,wCV_FCS_K16,0.95,18.61399914093989,34.56506513183296
1,4,airfoil,GP,wCV_SCS_K16,0.95,21.116593616934495,34.56506513183296
1,4,airfoil,GP,JAW_FCS_KLOO_rep_K16,0.95,23.394528997839174,34.56506513183296
1,4,airfoil,GP,JAW_SCS_KLOO_rep_K16,1.0,25.176299368754343,34.56506513183296
1,4,airfoil,GP,JAW_FCS_KLOO_det_K16,1.0,inf,34.56506513183296
1,4,airfoil,GP,JAW_SCS_KLOO_det_K16,1.0,inf,34.56506513183296
1,5,airfoil,GP,split,0.85,22.047324783085045,35.416093131015074
1,5,airfoil,GP,weighted_split,0.85,22.166526389390185,35.416093131015074
1,5,airfoil,GP,JAW-FCS,0.85,19.62952509589644,32.20621592591928
1,5,airfoil,GP,JAW-SCS,0.85,21.071518593852346,32.20621592591928
1,5,airfoil,GP,jackknife+,0.85,19.62952509589644,32.20621592591928
1,5,airfoil,GP,CV+_K16,0.85,19.228465773392344,32.20621592591928
1,5,airfoil,GP,wCV_FCS_K16,0.85,19.26682608544523,32.20621592591928
1,5,airfoil,GP,wCV_SCS_K16,0.85,20.80513208358053,32.20621592591928
